final_text,rating,label,aspect
"['enak', 'sekali', 'besok', 'order', 'lagi']",5,positif,rasa
"['rasa', 'jus', 'agak', 'kurang', 'buah', 'seperti', 'rasa', 'gula', 'dan', 'air', 'saja', 'tapi', 'rasa', 'mienya', 'enak', 'dan', 'pas']",4,positif,porsi
"['pesan', 'garang', 'asem', 'di', 'menu', 'tulis', 'ayam', 'kampung', 'tapi', 'telah', 'datang', 'nyata', 'ayam', 'kecil', 'alias', 'ayam', 'boiler']",3,negatif,porsi
"['varian', 'sosis', 'seperti', 'pakai', 'sosis', 'jadi', 'baik', 'terus', 'saos', 'tomat', 'terlalu', 'banyak', 'malah', 'tutup', 'rasa', 'sosis', 'untung', 'varian', 'keju', 'enak']",4,positif,rasa
"['sudah', 'langgan', 'beli', 'sini', 'dan', 'tidak', 'ada', 'masalah', 'belum', 'tapi', 'pada', 'pesan', 'akhir', 'jadi', 'kecewa', 'karena', 'kualitas', 'makan', 'jauh', 'turun', 'dan', 'beda', 'dari', 'yang', 'sudah', 'ayam', 'bakar', 'sama', 'sekali', 'beda', 'tidak', 'enak', 'dan', 'bahkan', 'sama', 'sekali', 'seperti', 'bukan', 'ayam', 'bakar', 'seperti', 'tidak', 'bakar', 'hanya', 'ada', 'sedikit', 'bau', 'bakar', 'saja', 'bentuk', 'masih', 'sama', 'seperti', 'ayam', 'crispy', 'biasa', 'tidak', 'ada', 'beda', 'untuk', 'mie', 'goreng', 'crispynya', 'juga', 'beda', 'rasa', 'dan', 'tidak', 'enak', 'bumbu', 'rubah', 'yang', 'belum', 'enak', 'sekarang', 'malah', 'hanya', 'seperti', 'mie', 'bumbu', 'cabe', 'pedas', 'saja', 'saran', 'supaya', 'kembali', 'kualitas', 'makan', 'lebih', 'rasa', 'seperti', 'belum', 'karena', 'turut', 'aku', 'itu', 'lebih', 'baik']",2,negatif,rasa
"['mie', 'nya', 'agak', 'kurang', 'mateng', 'dikit']",4,positif,porsi
"['porsi', 'kurang', 'banyak']",5,positif,porsi
"['ayam', 'enak', 'lembut', 'tapi', 'sayang', 'tidak', 'teliti', 'syaa', 'pesan', 'tahu', 'jeletot', 'porsi', 'biji', 'yang', 'datang', 'hanya', 'porsi', 'biji']",2,negatif,rasa
"['padahal', 'sudah', 'di', 'note', 'level', 'kuah', 'tolong', 'banyak', 'iya', 'pas', 'sampai', 'tidak', 'pedas', 'sekali', 'dan', 'kuah', 'dikit', 'hasil', 'sampai', 'kost', 'sudah', 'surut', 'sekali', 'lain', 'kali', 'tolong', 'lihat', 'catat', 'nya', 'kecewa', 'sekali', 'soal', 'lagi', 'ingin', 'makan', 'pedas']",1,negatif,rasa
"['tom', 'yumnya', 'enak', 'sekali']",5,positif,rasa
"['lagi', 'tidak', 'untung', 'saja', 'dapat', 'timun', 'pahit']",5,positif,rasa
"['langgan', 'dari', 'duluuuu', 'bersih', 'enak', 'tapi', 'minus', 'selalu', 'kurang', 'pedas', 'hihihi']",5,positif,rasa
"['kemas', 'kurang', 'tunjang', 'bungkus', 'pisah', 'pula', 'jadi', 'tidak', 'lihat', 'mana', 'moza', 'nya']",3,negatif,porsi
"['tolong', 'lebih', 'teliti', 'lagi', 'pesan', 'kurang', 'aku', 'pesan', 'yang', 'ada', 'paket', 'nasi', 'tetapi', 'hanya', 'kirim', 'hasil', 'nasi', 'porsi', 'untuk', 'orang', 'padahal', 'sudah', 'tunggu', 'lama', 'sekali', 'eh', 'malah', 'dikecewain', 'moga', 'hal', 'seperti', 'ini', 'tidak', 'ulang']",4,positif,porsi
"['kurang', 'pedas', 'pelit', 'sama', 'cabainy', 'hehe']",3,negatif,rasa
"['ulang', 'kali', 'beli', 'dapat', 'porsi', 'oke', 'tapi', 'malam', 'ini', 'tidak', 'muas', 'dan', 'kecewa', 'rendang', 'daging', 'sangat', 'kecil', 'dan', 'sedikit', 'sayur', 'juga', 'sangat', 'sedikit']",2,negatif,porsi
"['rasa', 'lumayan', 'lah', 'tapi', 'yang', 'jadi', 'masalah', 'ayam', 'paha', 'kurang', 'matang', 'pas', 'aku', 'makan', 'masih', 'banyak', 'darah', 'nya', 'tolong', 'lebih', 'teliti', 'ngolah', 'masakan', 'nya']",2,negatif,porsi
"['packagingnyaaa', 'bagus', 'rasanyaa', 'enak', 'terus', 'masih', 'panas', 'juga', 'akan', 'beli', 'lagi', 'pokok']",5,positif,rasa
"['nasi', 'enak', 'kurang', 'banyak']",4,positif,rasa
"['leseh', 'paling', 'enak', 'sebanguntapan', 'apalagi', 'sambal', 'tomat', 'enakkk']",5,positif,rasa
"['huhuhu', 'sedih', 'sekali', 'padahal', 'saya', 'suka', 'bhlan', 'ampir', 'tiap', 'hari', 'makan', 'panties', 'pizza', 'tapi', 'kok', 'french', 'friesnyaa', 'asin', 'sekali', 'sampai', 'tidak', 'kuat', 'mknnyaaa']",4,positif,rasa
"['enak', 'sekali', 'porsi', 'kuli', 'teman', 'harga', 'jangkau', 'mantul']",5,positif,porsi
"['soto', 'rasa', 'hambar', 'sayur', 'tidak', 'segar', 'khsusunya', 'kol', 'dan', 'tauge', 'nya', 'paket', 'ayam', 'tulis', 'dengan', 'lalap', 'yang', 'datang', 'hanya', 'potong', 'kecil', 'timun', 'ayam', 'potong', 'kecil']",2,negatif,rasa
"['porsi', 'dikit', 'hehe']",4,positif,porsi
"['ayam', 'tahu', 'kobis', 'campur', 'dengan', 'sambel', 'bawang', 'mentah', 'yang', 'asin']",5,positif,rasa
"['murah', 'enak', 'dan', 'banyak', 'xixixi']",5,positif,porsi
"['kenyang', 'sekali']",5,positif,porsi
"['choco', 'cheese', 'coklat', 'kurang', 'nendang', 'rasa', 'dan', 'sedikit']",4,positif,porsi
"['seperti', 'ini', 'nasi', 'balap', 'paling', 'enak', 'jauh', 'ini']",5,positif,rasa
"['oh', 'iya', 'menu', 'yang', 'kurang', 'itu', 'hanya', 'ayam', 'goreng', 'tepung']",5,positif,porsi
"['ayam', 'enak', 'tapi', 'sayang', 'nasi', 'jemek', 'sekali']",4,positif,rasa
"['ada', 'lalat', 'mati', 'makan']",1,negatif,kebersihan
"['selalu', 'enak', 'hehee', 'majasihhhhhhhhhhhh']",5,positif,rasa
"['keju', 'makin', 'banyak', 'makin', 'enak', 'sekali', 'campur', 'mayo', 'lebih', 'nikmat', 'lagi', 'pokok', 'enak', 'sekali', 'deh', 'yummy']",5,positif,porsi
"['tidak', 'bayang', 'kaffe', 'tonicnya', 'pas', 'bangun', 'tidur', 'pas', 'lemes', 'seruput', 'dikit', 'asa', 'sampai', 'ke', 'otak', 'rasa', 'cara', 'lain', 'nikmat', 'kopi', 'hebring', 'jadi']",5,positif,rasa
"['porsi', 'nya', 'kurang', 'mantap', 'hihi']",4,positif,porsi
"['sambal', 'bumbu', 'enak', 'tetapi', 'kurang', 'nendang', 'sedikit']",5,positif,porsi
"['rasa', 'beda', 'sama', 'yang', 'biasanyaaa']",1,negatif,rasa
"['kuah', 'tidak', 'ada', 'foto', 'padahal', 'enak', 'sekali', 'untuk', 'toping', 'porsi', 'banyak', 'sih']",4,positif,porsi
"['sayang', 'tanpa', 'alat', 'makan', 'dan', 'di', 'kemas', 'dengan', 'plastik', 'dan', 'untuk', 'rasa', 'lumayan', 'porsi', 'banyak', 'sekali']",5,positif,rasa
"['rasa', 'enak', 'kemas', 'bagus', 'bersih', 'oke', 'sambel', 'nya', 'enak', 'porsi', 'harus', 'dibanyakin', 'dikit', 'utama', 'nasi']",5,positif,rasa
"['enakk', 'higienis', 'dan', 'porsi', 'pas']",5,positif,kebersihan
"['kenyang', 'sekali']",5,positif,porsi
"['enak', 'menu', 'variasi', 'dan', 'alhamdulilah', 'promo']",5,positif,rasa
"['enak', 'favorit', 'anak', 'aku']",5,positif,rasa
"['enak', 'dapat', 'bonus', 'banyak', 'sekali', 'terima', 'kasih']",5,positif,porsi
"['tumben', 'salah', 'minta', 'pedas', 'dtgnya', 'tidak', 'pedas', 'sama', 'sekali']",4,positif,rasa
"['cabe', 'tapi', 'banyak', 'cabe']",1,negatif,porsi
"['rasa', 'lumayan', 'lah', 'tapi', 'yang', 'jadi', 'masalah', 'ayam', 'paha', 'kurang', 'matang', 'pas', 'aku', 'makan', 'masih', 'banyak', 'darah', 'nya', 'tolong', 'lebih', 'teliti', 'ngolah', 'masakan', 'nya']",2,negatif,rasa
"['kecewaaa', 'banyak', 'yang', 'bilang', 'kalau', 'ini', 'itu', 'enak', 'nyata', 'hanya', 'ayam', 'saja', 'yang', 'enak', 'buat', 'nasi', 'kurang', 'nasi', 'seperti', 'nasi', 'kemarin', 'yang', 'diangetin', 'lagi', 'terus', 'kertas', 'buat', 'bungkus', 'nasi', 'juga', 'bau', 'tidak', 'enak', 'mungkin', 'bisa', 'tingkat', 'lagi', 'untuk', 'selalu', 'cek', 'kualitas', 'produkny']",1,negatif,porsi
"['rasa', 'enak', 'sekali', 'tapi', 'sayang', 'bebek', 'kecil', 'padahal', 'sudah', 'pesan', 'yang', 'jumbo']",5,positif,porsi
"['seperti', 'minyak', 'goreng', 'seperti', 'sudah', 'lama', 'pakai', 'jadi', 'pengaruh', 'di', 'rasa', 'tepung']",2,negatif,rasa
"['terima', 'kasih', 'banyak']",4,positif,porsi
"['porsi', 'agak', 'kurang']",4,positif,porsi
"['sangat', 'tolong', 'di', 'saat', 'lapar', 'jam', 'sgini', 'tunggu', 'nya', 'tidak', 'lama', 'lho', 'dan', 'rasa', 'puoollllll', 'l', 'ueena aaak']",5,positif,porsi
"['selalu', 'kalau', 'beli', 'bubur', 'bau', 'gosong']",1,negatif,kebersihan
"['mantap', 'ayam']",5,positif,rasa
"['bumbu', 'nya', 'asa', 'pas', 'kalau', 'bisa', 'lebih', 'kental', 'jangan', 'terlalu', 'encer']",5,positif,rasa
"['kemarin', 'beli', 'choco', 'lava', 'milo', 'less', 'ice', 'sama', 'grape', 'yakult', 'normal', 'ice', 'eh', 'yang', 'less', 'ice', 'yang', 'lyche', 'dong', 'padal', 'sudah', 'di', 'tambah', 'note', 'haduhhh', 'padal', 'kalau', 'untuk', 'rasa', 'enak', 'sekali', 'tapi', 'sayang', 'kurang', 'teliti']",4,positif,porsi
"['terlalu', 'sedikit', 'porsi', 'nya']",4,positif,porsi
"['tidak', 'pernah', 'kecewa', 'rasa', 'dan', 'porsi']",5,positif,rasa
"['selalu', 'enak', 'hanya', 'baru', 'kali', 'ini', 'nemu', 'sawo', 'di', 'es', 'buah', 'hehe', 'tapi', 'enak', 'nyata']",5,positif,rasa
"['saus', 'chicken', 'steak', 'nya', 'asam']",2,negatif,rasa
"['rasa', 'sudah', 'tidak', 'seperti', 'dulu', 'lagi', 'ayam', 'nya', 'seperti', 'tidak', 'segar']",4,positif,rasa
"['lumayan', 'enak', 'porsi', 'banyak', 'terima', 'kasih']",4,positif,rasa
"['kenapa', 'semua', 'rasa', 'asin', 'tempe', 'asin', 'lele', 'goreng', 'asin', 'lele', 'bakar', 'banyak', 'kecap', 'ayam', 'goreng', 'asin', 'telur', 'asin', 'cha', 'kangkung', 'banyak', 'batang', 'asin', 'sekali', 'yang', 'benar', 'rasa', 'hanya', 'jus', 'semangka', 'aduuuuh', 'lele', 'goreng', 'juga', 'tidak', 'segar', 'seperti', 'lele', 'goreng', 'yang', 'goreng', 'kali', 'kali', 'apalagi', 'lele', 'bakar', 'daging', 'alot']",1,negatif,porsi
"['heheheh', 'enak', 'sekali', 'tolong']",5,positif,rasa
"['enak', 'pilih', 'level', 'tidak', 'terlalu', 'pedas', 'pas', 'ukur', 'level']",5,positif,rasa
"['pesan', 'sempat', 'kurang', 'dan', 'keliru', 'tapi', 'direspon', 'dengan', 'cepat', 'moga', 'lebih', 'teliti', 'lagi', 'ya']",5,positif,porsi
"['terong', 'goreng', 'mantap']",5,positif,rasa
"['tepung', 'di', 'ayam', 'goreng', 'kurang', 'asa']",3,negatif,porsi
"['enak', 'sekali', 'asin', 'gurih', 'pas', 'bagi', 'saya', 'tapi', 'bagi', 'yang', 'tidak', 'suka', 'asin', 'mungkin', 'sedikit', 'asin', 'jos', 'pokok', 'jamur', 'krispinya', 'mantap', 'enak', 'sekali']",4,positif,rasa
"['ini', 'rendang', 'sedikit', 'asin']",4,positif,rasa
"['cepat', 'skliiiii', 'joss', 'enak', 'rasa', 'kuah', 'nagih', 'sekali', 'enakkkk']",5,positif,rasa
"['mienya', 'kurang', 'pedas', 'dan', 'agak', 'beda', 'dari', 'biasa', 'rasa']",4,positif,rasa
"['baik', 'nasi', 'ayam', 'daerah', 'depok', 'porsi', 'kuli', 'lagi']",5,positif,porsi
"['sudah', 'langgan', 'enak', 'rasa', 'tapi', 'pernah', 'jadi', 'nyala', 'nya', 'ada', 'rambut', 'panjang', 'tingkat', 'bersih', 'ya']",5,positif,kebersihan
"['kecil', 'sekali', 'sate', 'pesan', 'tusuk', 'datengnya', 'kurang']",3,negatif,porsi
"['enak', 'sudah', 'langgan']",5,positif,rasa
"['ukur', 'ayam', 'kecil', 'sekali', 'pesan', 'tempe', 'tinggal', 'cukup', 'sekali', 'saja', 'deh', 'order', 'mohon', 'di', 'tingkat', 'lagi', 'layan']",2,negatif,porsi
"['enak', 'porsi', 'bikin', 'kenyang', 'harga', 'murah', 'terima', 'kasih', 'ya']",5,positif,porsi
"['selalu', 'enak', 'porsi', 'stabil', 'tiap', 'order', 'baik', 'ojek', 'online', 'maupun', 'luring', 'langsung', 'ke', 'warung']",5,positif,rasa
"['nasi', 'terlalu', 'lembek', 'kerupuk', 'juga', 'tidak', 'ada', 'ada', 'bungkus', 'yang', 'ada', 'bagi', 'seperti', 'gumpal', 'bumbu', 'atau', 'kurang', 'campur', 'cara', 'rata', 'jadi', 'rasa', 'asin', 'sekali', 'dan', 'sisa', 'nasi', 'nya', 'hambar']",1,negatif,porsi
"['porsi', 'nya', 'pas', 'dan', 'rasa', 'enak']",5,positif,porsi
"['telur', 'nya', 'kurang', 'saya', 'psn', 'gado', 'telor', 'jumbo', 'porsi', 'yang', 'tidak', 'ada', 'telor', 'nya']",3,negatif,porsi
"['saya', 'rasa', 'pedas', 'yang', 'paket', 'cheesy', 'level', 'kurang', 'sih', 'biasa', 'saya', 'sudah', 'rasa', 'kepedesan', 'sampai', 'habis', 'selesai', 'makan', 'masih', 'asa', 'ini', 'tadi', 'tumben', 'sekali', 'pedesnya', 'tidak', 'nyisa', 'sama', 'sekali', 'di', 'lidah', 'mulut']",5,positif,rasa
